AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used
Aldnoah.Zero,"Kaizuka, Inaho, Orange","Hanae, Natsuki","Action, Mecha, Sci-fi",Aldnoah Zero - Inaho.avi,Inaho.jpg,X
Amagi Brilliant Park,Tiramie,"Nonaka, Ai","Comedy, Magic",Amagi Brilliant Park - Tiramie.avi,tiramie.jpg,X
Angel Beats!,"Hinata, Hideki","Kimura, Ryohei","Action, Comedy, Drama, School, Supernatural",Angel Beats! - Hinata.avi,Hinata.png,X
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,"Yadomi Jinta, Jintan","Irino, Miyu","Drama, Slice of Life, Supernatural",Anohana - Jinta.mp4,JintanBio.png,X
Ansatsu Kyoushitsu,"Akabane, Karma","Okamoto, Nobuhiko","Action, Comedy, School, Shounen",Ansatsu Kyoushitsu - Karma.mp4,Karma.jpg,X
Baka to Test to Shoukanjuu,"Yoshii, Akihisa","Shimono, Hiro","Comedy, Romance, School, Super Power",Baka To Test To Shoukanjuu - Yoshii.avi,Yoshii.jpg,X
Bleach,"Kurosaki, Ichigo","Morita, Masakazu","Action, Comedy, Shounen, Super Power, Supernatural",Bleach - Ichigo.mp4,Ichigo.jpg,X
Boku no hero academia,"Midoriya, Izuku","Yamashita, Daiki","Action, Comedy, School, Shounen, Super Power",Boku no hero academia - Izuku.avi,Izuku.png,X
Cardcaptor Sakura,"Kinomoto, Sakura (Avalon)","Kwan, Andrea","Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",Cardcaptor Sakura - Sakura.mp4,Sakura.jpg,X
Charlotte,"Kurobane, Yusa ""Yusa Nishimori, Yusarin""","Uchida, Maaya","Drama, School, Super Power",Charlotte - Yusarin Magic Spell.avi,Yusarin.png,X
Chihayafuru,"Oe, Kanade ""Kana""","Kayano, Ai","Drama, Game, Josei, Slice of Life, Sports",Chihayafuru - Oe Kanade.mp4,Oe Kanade.jpg,X
Chuunibyou demo koi ga shitai,"Takanashi, Rikka ""Maou Shingan, Master""","Uchida, Maaya","Comedy, Drama, Romance, School, Slice of Life",Chuunibyou demo koi ga shitai - Rikka.mp4,Rikka.jpg,X
Clannad,"Sunohara, Youhei","Sakaguchi, Daisuke","Comedy, Drama, Romance, School, Slice of Life, Supernatural",Clannad - Sunohara.mp4,Sunohara.png,X
Code Geass,Lelouch vi Britannia,"Fukuyama, Jun","Action, Mecha, Military, School, Sci-Fi, Super Power",Code Geass - Lelouch.avi,Lelouch.jpg,X
D.Gray-Man,Allen Walker,"Kobayashi, Sanae","Action, Adventure, Comedy, Shounen",D.Gray-Man - Allen Walker.mp4,Allen Walker.png,X
Dragonball Z,"Son, Goku",Sean Schemmel,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",DBZ - Goku.avi,Goku.jpg,X
Death Note,"Yagami, Light ""Kira""",Brad Swaile,"Mystery, Police, Psychological, Supernatural, Thriller",Death Note - Light.mp4,Light.jpg,X
Digimon Adventure Tri,"Yagami, Taichi ""Tai""","Hanae, Natsuki","Action, Adventure, Comedy, Drama",Digimon Adventure Tri - Yagami Taichi.avi,Taichi.png,X
Durarara!!,"Orihara, Izaya","Kamiya, Hiroshi","Action, Mystery, Supernatural",Durarara - Izaya.mp4,Izaya.jpg,X
Erased / Boku dake ga inai machi,"Fujinuma, Satoru","Mitsushima, Shinnosuke","Mystery, Psychological, Seinen, Supernatural",Erased - Satoru.avi,Satoru.png,X
Fairy Tail,"Natsu Dragneel, Salamander","Kakihara, Tetsuya","Action, Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen, Super Power",Fairy Tail - Natsu Dragneel.avi,Natsu.png,X
Fate/Stay Night (2006),Archer,"Suwabe, Junichi","Action, Fantasy, Magic, Romance, Supernatural",Fate - Archer.mp4,Archer.png,X
Fullmetal Alchemist,Winry Rockbell,"Takamoto, Megumi","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",FMA - Winry.mp4,Winry.jpg,X
Free!,"Nanase, Haruka","Shimazaki, Nobunaga","Comedy, School, Slice of Life, Sports",Free - Haruka.mp4,Haru.jpg,X
Fullmetal Alchemist: Brotherhood,"Roy Mustang, The Flame Alchemist",Travis Willingham,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",Fullmetal Alchemist Brotherhood - Roy Mustang.avi,Roy Mustang.png,X
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Itami, Youji","Suwabe, Junichi","Action, Adventure, Fantasy, Military",Gate - Itami.avi,Itami.jpg,X
Gintama,"Yamazaki, Sagaru ""Anpanman""","Oota, Tetsuharu","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Gintama - Yamazaki.mp4,Yamazaki.jpg,X
Gundam (Mobile Suit Gundam),Amuro Ray,"Furuya, Toru","Action, Mecha, Military, Sci-Fi, Shounen, Space",Gundam - Rey Amuro.mp4,Amuro Ray.jpg,X
Gundam 00 (Mobile Suit Gundam 00),"Setsuna F. Seiei, Soran Ibrahim","Miyano, Mamoru","Action, Drama, Mecha, Military, Sci-Fi, Space",Gundam 00 - Setsuna.mp4,SetsunaFSeiei.jpg,X
Haganai (Boku wa Tomodachi ga Sukunai),"Hasegawa, Kobato","Hanazawa, Kana","Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",Haganai - Kobato.avi,Kobato.png,X
Hai to Gensou no Grimgar,Yume,"Komatsu, Mikako","Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",Hai to Gensou no Grimgar - Yume.avi,Yume.jpg,X
Haikyuu!!,"Hinata, Shouyou","Murase, Ayumu","Comedy, Drama, School, Shounen, Sports",Haikyuu - Hinata.mp4,HinataShouyou.jpg,X
Haikyuu!!,"Oikawa, Tooru","Namikawa, Daisuke","Comedy, Drama, School, Shounen, Sports",Haikyuu!! - Oikawa.avi,Oikawa.png,X
Haruhi (The Melancholy of Haruhi Suzumiya),Kyon,"Sugita, Tomokazu","Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",Haruhi - Kyon.mp4,Kyon.jpg,X
Hataraku Maou-sama!,"Maou Satan, Maou Sadao","Osaka, Ryota","Comedy, Demons, Fantasy, Romance, Shounen",Hataraku Maou-sama - Maou Sadao.avi,Maou Sadao.png,X
Higashi no Eden,"Takizawa, Akira","Kimura, Ryohei","Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",Higashi no Eden - Akira Takizawa.avi,Akira Takizawa.png,X
Higurashi no Naku Koro ni,"Sonozaki, Shion","Yukino, Satsuki","Horror, Mystery, Psychological, Supernatural, Thriller",Higurashi no Naku Koro ni - Shion Sonozaki.avi,Shion.gif,X
Honey and Clover,"Takemoto, Yuta","Kamiya, Hiroshi","Comedy, Drama, Josei, Romance",honey and clover - Takemoto Yuta.avi,Takemoto Yuuta.jpg,X
Hotarubi no Mori e,Gin,"Uchiyama, Kouki","Drama, Romance, Shoujo, Supernatural",Hotarubi no mori e - Gin.mp4,Gin.jpg,X
Hunter x Hunter,Gon Freecss,"Han, Megumi","Action, Adventure, Shounen, Super Power",HxH - Gon.mp4,Gon.png,X
Hyouka,"Chitanda, Eru","Sato, Satomi","Mystery, School, Slice of Life",Hyouka - Chitanda.avi,chitanda.jpg,X
Initial D,"Fujiwara, Takumi","Miki, Shinichiro","Action, Cars, Drama, Seinen, Sports",Initial D - Takumi.avi,Takumi.jpg,X
Inuyasha,"Inuyasha, mutt",Richard Ian Cox,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",Inuyasha - Inuyasha.mp4,Inuyasha.jpg,X
Jojo's Bizarre Adventure / Jojo no kimyou na bouken,"Kujo, Jotaro ""Jojo""","Ono, Daisuke","Action, Adventure, Shounen, Supernatural, Vampire",Jojo - Jotaro.mp4,Jotaro.png,X
K-On!,"Hirasawa, Yui","Toyosaki, Aki","Comedy, Music, School, Slice of Life",K-On - Yui.mp4,Hirasawa Yui.jpg,X
Kaichou wa Maid-sama!,"Ayuzawa, Misaki ""Kaichou, Misa""","Fujimura, Ayumi","Comedy, Romance, School, Shoujo",Kaichou wa maid-sama - Misaki.mp4,Misaki.jpg,X
Kakumeiki Valvrave,A-Drei,"Fukuyama, Jun","Action, Mecha, Space",Kakumeki Valvrave - A-Drei.avi,A-Drei.jpg,X
Kanon,"Tsukimiya, Ayu","Horie, Yui","Drama, Romance, Slice of Life, Supernatural",Kanon - Ayu Tsukimiya.avi,Ayu.jpg,X
Katekyo Hitman Reborn,"Hibari, Kyouya","Kondou, Takeshi","Action, Comedy, Shounen, Super Power, Supernatural",Katekyo Hitman Reborn - Hibari Kyoya.avi,Hibari.jpg,X
Kiniro Mosaic,"Kujou, Karen","Touyama, Nao","Comedy, School, Slice of Life",Kiniro Mosaic - Kujou Karen.avi,Kujou Karen.png,X
Kokoro Connect,"Inaba, Himeko ""Himeko""","Sawashiro, Miyuki","Comedy, Drama, Romance, School, Slice of Life, Supernatural",Kokoro Connect - Inaban.mp4,Inaban.jpg,X
KonoSuba: God's Blessing on This Wonderful World!,Megumin,"Takahashi, Rie","Adventure, Comedy, Fantasy, Supernatural",KonoSuba- Megumin's Explosion.avi,Megumin.png,X
Koutetsujou no Kabaneri,"Mumei ""Hosumi""","Senbongi, Sayaka","Action, Drama, Fantasy, Horror",Koutetsujou no Kabaneri - Mumei.avi,Mumei.jpg,X
Log Horizon,"Shiroe, Kei Shirogane","Terashima, Takuma","Action, Adventure, Fantasy, Game, Magic, Shounen",Log Horizon - Kei 'Shiroe' Shirogane.avi,Shiroe.png,X
Lucky Star,"Izumi, Konata","Hirano, Aya","Comedy, Parody, School, Slice of Life",Lucky Star - Konata.mp4,Konata-san.gif,X
Macross Frontier,Ranka Lee,"Nakajima, Megumi","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Macross Frontier - Ranka Lee.avi,Ranka Lee.jpg,X
Nagi no Asukara,"Mukaido, Manaka","Hanazawa, Kana","Drama, Fantasy, Romance",Nagi no Asukara - Manaka.avi,Manaka.png,X
Nanatsu no Taizai,"Meliodas, Dragon sin of Wrath","Kaji, Yuki","Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",Nanatsu no Taizai - Meliodas.avi,Meliodas.png,X
Naruto,"Uchiha, Sasuke",Yuri Lowenthal,"Action, Comedy, Martial Arts, Shounen, Super Power",Naruto - Sasuke.avi,Sasuke.jpg,X
Natsume Yuujinchou,"Madara, Nyanko-sensei","Inoue, Kazuhiko","Drama, Fantasy, Shoujo, Slice of Life, Supernatural",Natsume Yuujinchou - Madara.mp4,Madara.jpg,X
NHK ni Youkoso,"Nakahara, Misaki","Makino, Yui","Comedy, Drama, Psychological, Romance",NHK ni Youkoso - Misaki Nakahara.avi,MisakiNakahara.jpg,X
Nisekoi,"Kirisaki, Chitoge","Touyama, Nao","Comedy, Harem, Romance, School, Shounen",Nisekoi - Chitoge.mp4,Chitoge.png,X
No Game No Life,Shiro,"Kayano, Ai","Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",No Game No Life - Shiro.avi,Shiro.png,X
Noragami,"Yato, Yatogami","Kamiya, Hiroshi","Action, Adventure, Shounen, Supernatural",Noragami - Yato.mp4,Yato.jpg,X
One Piece,"Nami, Cat Buglar","Okamura, Akemi","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One Piece - Nami.mp4,Nami.png,X
